

Ente;Liste/Gruppi;Voti;
MIAGLIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;66;;
MIAGLIANO;FORZA ITALIA;58;;
MIAGLIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;48;;
MIAGLIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;15;;
MIAGLIANO;L'ALTRA EUROPA CON TSIPRAS;9;;
MIAGLIANO;ITALIA DEI VALORI;4;;
MIAGLIANO;NUOVO CENTRO DESTRA - UDC;4;;
MIAGLIANO;SCELTA EUROPEA;3;;
MIAGLIANO;VERDI EUROPEI-GREEN ITALIA;2;;
MIAGLIANO;IO CAMBIO - MAIE;0;;
MONGRANDO;PARTITO DEMOCRATICO;793;;
MONGRANDO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;510;;
MONGRANDO;FORZA ITALIA;371;;
MONGRANDO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;243;;
MONGRANDO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;114;;
MONGRANDO;L'ALTRA EUROPA CON TSIPRAS;58;;
MONGRANDO;NUOVO CENTRO DESTRA - UDC;34;;
MONGRANDO;SCELTA EUROPEA;31;;
MONGRANDO;ITALIA DEI VALORI;19;;
MONGRANDO;VERDI EUROPEI-GREEN ITALIA;18;;
MONGRANDO;IO CAMBIO - MAIE;5;;
MOSSO;PARTITO DEMOCRATICO;339;;
MOSSO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;153;;
MOSSO;FORZA ITALIA;108;;
MOSSO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;97;;
MOSSO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;36;;
MOSSO;L'ALTRA EUROPA CON TSIPRAS;23;;
MOSSO;ITALIA DEI VALORI;15;;
MOSSO;SCELTA EUROPEA;14;;
MOSSO;NUOVO CENTRO DESTRA - UDC;14;;
MOSSO;VERDI EUROPEI-GREEN ITALIA;10;;
MOSSO;IO CAMBIO - MAIE;5;;
MOTTALCIATA;PARTITO DEMOCRATICO;292;;
MOTTALCIATA;FORZA ITALIA;149;;
MOTTALCIATA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;148;;
MOTTALCIATA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;95;;
MOTTALCIATA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;21;;
MOTTALCIATA;NUOVO CENTRO DESTRA - UDC;10;;
MOTTALCIATA;L'ALTRA EUROPA CON TSIPRAS;10;;
MOTTALCIATA;SCELTA EUROPEA;7;;
MOTTALCIATA;ITALIA DEI VALORI;6;;
MOTTALCIATA;VERDI EUROPEI-GREEN ITALIA;5;;
MOTTALCIATA;IO CAMBIO - MAIE;5;;
MUZZANO;PARTITO DEMOCRATICO;147;;
MUZZANO;FORZA ITALIA;68;;
MUZZANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;67;;
MUZZANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;41;;
MUZZANO;L'ALTRA EUROPA CON TSIPRAS;15;;
MUZZANO;SCELTA EUROPEA;11;;
MUZZANO;NUOVO CENTRO DESTRA - UDC;8;;
MUZZANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;8;;
MUZZANO;VERDI EUROPEI-GREEN ITALIA;6;;
MUZZANO;ITALIA DEI VALORI;4;;
MUZZANO;IO CAMBIO - MAIE;0;;
NETRO;PARTITO DEMOCRATICO;214;;
NETRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;132;;
NETRO;FORZA ITALIA;114;;
NETRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;50;;
NETRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
NETRO;SCELTA EUROPEA;14;;
NETRO;L'ALTRA EUROPA CON TSIPRAS;9;;
NETRO;NUOVO CENTRO DESTRA - UDC;8;;
NETRO;VERDI EUROPEI-GREEN ITALIA;7;;
NETRO;ITALIA DEI VALORI;6;;
NETRO;IO CAMBIO - MAIE;1;;
OCCHIEPPO INFERIORE;PARTITO DEMOCRATICO;876;;
OCCHIEPPO INFERIORE;FORZA ITALIA;416;;
OCCHIEPPO INFERIORE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;412;;
OCCHIEPPO INFERIORE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;166;;
OCCHIEPPO INFERIORE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;86;;
OCCHIEPPO INFERIORE;L'ALTRA EUROPA CON TSIPRAS;76;;
