

Ente;Liste/Gruppi;Voti;
MONTE SAN VITO;VERDI EUROPEI-GREEN ITALIA;34;;
MONTE SAN VITO;ITALIA DEI VALORI;25;;
MONTE SAN VITO;IO CAMBIO - MAIE;12;;
MORRO D'ALBA;PARTITO DEMOCRATICO;566;;
MORRO D'ALBA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;168;;
MORRO D'ALBA;FORZA ITALIA;91;;
MORRO D'ALBA;L'ALTRA EUROPA CON TSIPRAS;31;;
MORRO D'ALBA;NUOVO CENTRO DESTRA - UDC;29;;
MORRO D'ALBA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;20;;
MORRO D'ALBA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
MORRO D'ALBA;VERDI EUROPEI-GREEN ITALIA;9;;
MORRO D'ALBA;ITALIA DEI VALORI;9;;
MORRO D'ALBA;SCELTA EUROPEA;8;;
MORRO D'ALBA;IO CAMBIO - MAIE;2;;
NUMANA;PARTITO DEMOCRATICO;865;;
NUMANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;496;;
NUMANA;FORZA ITALIA;349;;
NUMANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;143;;
NUMANA;NUOVO CENTRO DESTRA - UDC;126;;
NUMANA;L'ALTRA EUROPA CON TSIPRAS;79;;
NUMANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;61;;
NUMANA;VERDI EUROPEI-GREEN ITALIA;29;;
NUMANA;ITALIA DEI VALORI;21;;
NUMANA;SCELTA EUROPEA;17;;
NUMANA;IO CAMBIO - MAIE;5;;
OFFAGNA;PARTITO DEMOCRATICO;554;;
OFFAGNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;307;;
OFFAGNA;FORZA ITALIA;127;;
OFFAGNA;L'ALTRA EUROPA CON TSIPRAS;59;;
OFFAGNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;53;;
OFFAGNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;36;;
OFFAGNA;NUOVO CENTRO DESTRA - UDC;34;;
OFFAGNA;VERDI EUROPEI-GREEN ITALIA;16;;
OFFAGNA;ITALIA DEI VALORI;8;;
OFFAGNA;IO CAMBIO - MAIE;5;;
OFFAGNA;SCELTA EUROPEA;4;;
OSIMO;PARTITO DEMOCRATICO;8254;;
OSIMO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;5125;;
OSIMO;FORZA ITALIA;2186;;
OSIMO;NUOVO CENTRO DESTRA - UDC;880;;
OSIMO;L'ALTRA EUROPA CON TSIPRAS;802;;
OSIMO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;739;;
OSIMO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;550;;
OSIMO;VERDI EUROPEI-GREEN ITALIA;231;;
OSIMO;ITALIA DEI VALORI;171;;
OSIMO;SCELTA EUROPEA;91;;
OSIMO;IO CAMBIO - MAIE;44;;
OSTRA;PARTITO DEMOCRATICO;1544;;
OSTRA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;813;;
OSTRA;FORZA ITALIA;483;;
OSTRA;NUOVO CENTRO DESTRA - UDC;249;;
OSTRA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;164;;
OSTRA;L'ALTRA EUROPA CON TSIPRAS;114;;
OSTRA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;103;;
OSTRA;ITALIA DEI VALORI;47;;
OSTRA;SCELTA EUROPEA;24;;
OSTRA;VERDI EUROPEI-GREEN ITALIA;16;;
OSTRA;IO CAMBIO - MAIE;11;;
OSTRA VETERE;PARTITO DEMOCRATICO;870;;
OSTRA VETERE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;300;;
OSTRA VETERE;FORZA ITALIA;241;;
OSTRA VETERE;NUOVO CENTRO DESTRA - UDC;104;;
OSTRA VETERE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;61;;
