

Ente;Liste/Gruppi;Voti;
CASTEGGIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;594;;
CASTEGGIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;532;;
CASTEGGIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;135;;
CASTEGGIO;NUOVO CENTRO DESTRA - UDC;105;;
CASTEGGIO;L'ALTRA EUROPA CON TSIPRAS;74;;
CASTEGGIO;ITALIA DEI VALORI;34;;
CASTEGGIO;VERDI EUROPEI-GREEN ITALIA;32;;
CASTEGGIO;SCELTA EUROPEA;30;;
CASTEGGIO;IO CAMBIO - MAIE;8;;
CASTELLETTO DI BRANDUZZO;PARTITO DEMOCRATICO;260;;
CASTELLETTO DI BRANDUZZO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;111;;
CASTELLETTO DI BRANDUZZO;FORZA ITALIA;98;;
CASTELLETTO DI BRANDUZZO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;84;;
CASTELLETTO DI BRANDUZZO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
CASTELLETTO DI BRANDUZZO;L'ALTRA EUROPA CON TSIPRAS;15;;
CASTELLETTO DI BRANDUZZO;NUOVO CENTRO DESTRA - UDC;11;;
CASTELLETTO DI BRANDUZZO;ITALIA DEI VALORI;8;;
CASTELLETTO DI BRANDUZZO;VERDI EUROPEI-GREEN ITALIA;5;;
CASTELLETTO DI BRANDUZZO;SCELTA EUROPEA;5;;
CASTELLETTO DI BRANDUZZO;IO CAMBIO - MAIE;2;;
CASTELLO D'AGOGNA;PARTITO DEMOCRATICO;203;;
CASTELLO D'AGOGNA;FORZA ITALIA;116;;
CASTELLO D'AGOGNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;102;;
CASTELLO D'AGOGNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;65;;
CASTELLO D'AGOGNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
