

Ente;Liste/Gruppi;Voti;
PIETRASANTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;349;;
PIETRASANTA;NUOVO CENTRO DESTRA - UDC;223;;
PIETRASANTA;VERDI EUROPEI-GREEN ITALIA;104;;
PIETRASANTA;ITALIA DEI VALORI;65;;
PIETRASANTA;SCELTA EUROPEA;59;;
PIETRASANTA;IO CAMBIO - MAIE;13;;
PIEVE FOSCIANA;PARTITO DEMOCRATICO;730;;
PIEVE FOSCIANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;175;;
PIEVE FOSCIANA;FORZA ITALIA;155;;
PIEVE FOSCIANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;45;;
PIEVE FOSCIANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;40;;
PIEVE FOSCIANA;L'ALTRA EUROPA CON TSIPRAS;38;;
PIEVE FOSCIANA;NUOVO CENTRO DESTRA - UDC;29;;
PIEVE FOSCIANA;VERDI EUROPEI-GREEN ITALIA;10;;
PIEVE FOSCIANA;ITALIA DEI VALORI;10;;
PIEVE FOSCIANA;SCELTA EUROPEA;7;;
PIEVE FOSCIANA;IO CAMBIO - MAIE;2;;
PORCARI;PARTITO DEMOCRATICO;2029;;
PORCARI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;763;;
PORCARI;FORZA ITALIA;526;;
PORCARI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;112;;
PORCARI;NUOVO CENTRO DESTRA - UDC;106;;
PORCARI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;95;;
PORCARI;L'ALTRA EUROPA CON TSIPRAS;77;;
PORCARI;SCELTA EUROPEA;22;;
PORCARI;VERDI EUROPEI-GREEN ITALIA;21;;
PORCARI;ITALIA DEI VALORI;17;;
PORCARI;IO CAMBIO - MAIE;11;;
SAN ROMANO IN GARFAGNANA;PARTITO DEMOCRATICO;497;;
SAN ROMANO IN GARFAGNANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;136;;
SAN ROMANO IN GARFAGNANA;FORZA ITALIA;108;;
SAN ROMANO IN GARFAGNANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;37;;
SAN ROMANO IN GARFAGNANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;23;;
SAN ROMANO IN GARFAGNANA;L'ALTRA EUROPA CON TSIPRAS;22;;
SAN ROMANO IN GARFAGNANA;NUOVO CENTRO DESTRA - UDC;21;;
SAN ROMANO IN GARFAGNANA;VERDI EUROPEI-GREEN ITALIA;7;;
SAN ROMANO IN GARFAGNANA;ITALIA DEI VALORI;2;;
SAN ROMANO IN GARFAGNANA;IO CAMBIO - MAIE;1;;
SAN ROMANO IN GARFAGNANA;SCELTA EUROPEA;1;;
SERAVEZZA;PARTITO DEMOCRATICO;2554;;
SERAVEZZA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1348;;
SERAVEZZA;FORZA ITALIA;810;;
SERAVEZZA;L'ALTRA EUROPA CON TSIPRAS;253;;
SERAVEZZA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;203;;
SERAVEZZA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;199;;
SERAVEZZA;NUOVO CENTRO DESTRA - UDC;74;;
SERAVEZZA;VERDI EUROPEI-GREEN ITALIA;62;;
SERAVEZZA;ITALIA DEI VALORI;33;;
SERAVEZZA;SCELTA EUROPEA;30;;
SERAVEZZA;IO CAMBIO - MAIE;15;;
SILLANO;PARTITO DEMOCRATICO;225;;
SILLANO;FORZA ITALIA;61;;
SILLANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;58;;
SILLANO;NUOVO CENTRO DESTRA - UDC;21;;
SILLANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;20;;
SILLANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;17;;
SILLANO;L'ALTRA EUROPA CON TSIPRAS;10;;
SILLANO;SCELTA EUROPEA;2;;
SILLANO;VERDI EUROPEI-GREEN ITALIA;2;;
SILLANO;ITALIA DEI VALORI;1;;
SILLANO;IO CAMBIO - MAIE;0;;
STAZZEMA;PARTITO DEMOCRATICO;766;;
STAZZEMA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;397;;
STAZZEMA;FORZA ITALIA;256;;
STAZZEMA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;77;;
STAZZEMA;L'ALTRA EUROPA CON TSIPRAS;71;;
STAZZEMA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;52;;
STAZZEMA;NUOVO CENTRO DESTRA - UDC;29;;
STAZZEMA;ITALIA DEI VALORI;15;;
STAZZEMA;SCELTA EUROPEA;7;;
STAZZEMA;VERDI EUROPEI-GREEN ITALIA;7;;
STAZZEMA;IO CAMBIO - MAIE;6;;
VAGLI SOTTO;PARTITO DEMOCRATICO;321;;
VAGLI SOTTO;FORZA ITALIA;176;;
VAGLI SOTTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;82;;
VAGLI SOTTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;24;;
VAGLI SOTTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;19;;
VAGLI SOTTO;L'ALTRA EUROPA CON TSIPRAS;16;;
VAGLI SOTTO;NUOVO CENTRO DESTRA - UDC;15;;
VAGLI SOTTO;IO CAMBIO - MAIE;2;;
VAGLI SOTTO;VERDI EUROPEI-GREEN ITALIA;2;;
VAGLI SOTTO;SCELTA EUROPEA;1;;
VAGLI SOTTO;ITALIA DEI VALORI;1;;
VIAREGGIO;PARTITO DEMOCRATICO;13004;;
VIAREGGIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;5478;;
VIAREGGIO;FORZA ITALIA;4206;;
VIAREGGIO;L'ALTRA EUROPA CON TSIPRAS;1790;;
VIAREGGIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;829;;
VIAREGGIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;812;;
VIAREGGIO;NUOVO CENTRO DESTRA - UDC;541;;
VIAREGGIO;VERDI EUROPEI-GREEN ITALIA;182;;
VIAREGGIO;SCELTA EUROPEA;155;;
VIAREGGIO;ITALIA DEI VALORI;99;;
VIAREGGIO;IO CAMBIO - MAIE;46;;
VILLA BASILICA;PARTITO DEMOCRATICO;424;;
VILLA BASILICA;FORZA ITALIA;205;;
VILLA BASILICA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;196;;
VILLA BASILICA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;65;;
VILLA BASILICA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;41;;
VILLA BASILICA;NUOVO CENTRO DESTRA - UDC;27;;
VILLA BASILICA;L'ALTRA EUROPA CON TSIPRAS;18;;
VILLA BASILICA;ITALIA DEI VALORI;10;;
VILLA BASILICA;SCELTA EUROPEA;6;;
VILLA BASILICA;VERDI EUROPEI-GREEN ITALIA;6;;
VILLA BASILICA;IO CAMBIO - MAIE;2;;
VILLA COLLEMANDINA;PARTITO DEMOCRATICO;430;;
VILLA COLLEMANDINA;FORZA ITALIA;160;;
VILLA COLLEMANDINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;110;;
VILLA COLLEMANDINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;61;;
VILLA COLLEMANDINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;35;;
VILLA COLLEMANDINA;NUOVO CENTRO DESTRA - UDC;25;;
VILLA COLLEMANDINA;L'ALTRA EUROPA CON TSIPRAS;12;;
VILLA COLLEMANDINA;SCELTA EUROPEA;8;;
VILLA COLLEMANDINA;ITALIA DEI VALORI;6;;
VILLA COLLEMANDINA;IO CAMBIO - MAIE;3;;
VILLA COLLEMANDINA;VERDI EUROPEI-GREEN ITALIA;2;;
