

Ente;Liste/Gruppi;Voti;
CANALE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;145;;
CANALE;L'ALTRA EUROPA CON TSIPRAS;70;;
CANALE;VERDI EUROPEI-GREEN ITALIA;59;;
CANALE;NUOVO CENTRO DESTRA - UDC;59;;
CANALE;ITALIA DEI VALORI;33;;
CANALE;SCELTA EUROPEA;32;;
CANALE;IO CAMBIO - MAIE;17;;
CANOSIO;PARTITO DEMOCRATICO;22;;
CANOSIO;FORZA ITALIA;8;;
CANOSIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;8;;
CANOSIO;NUOVO CENTRO DESTRA - UDC;7;;
CANOSIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
CANOSIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
CANOSIO;L'ALTRA EUROPA CON TSIPRAS;1;;
CANOSIO;ITALIA DEI VALORI;1;;
CANOSIO;SCELTA EUROPEA;1;;
CANOSIO;VERDI EUROPEI-GREEN ITALIA;0;;
CANOSIO;IO CAMBIO - MAIE;0;;
CAPRAUNA;PARTITO DEMOCRATICO;33;;
CAPRAUNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;12;;
CAPRAUNA;FORZA ITALIA;5;;
CAPRAUNA;L'ALTRA EUROPA CON TSIPRAS;3;;
CAPRAUNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;2;;
CAPRAUNA;SCELTA EUROPEA;2;;
CAPRAUNA;NUOVO CENTRO DESTRA - UDC;2;;
CAPRAUNA;VERDI EUROPEI-GREEN ITALIA;1;;
CAPRAUNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
CAPRAUNA;ITALIA DEI VALORI;0;;
CAPRAUNA;IO CAMBIO - MAIE;0;;
CARAGLIO;PARTITO DEMOCRATICO;1224;;
CARAGLIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;681;;
CARAGLIO;FORZA ITALIA;653;;
CARAGLIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;422;;
CARAGLIO;NUOVO CENTRO DESTRA - UDC;193;;
